" Cho đề bài sau: Phân tích nhân vật ông giáo trong truyện ngắn Lão Hạc của Nam Cao. Trong phần mở bài, ta sẽ giới thiệu về vấn đề gì?", Thể hiện sự cảm thụ và ý kiến riêng của người viết.
 Phần nào sau đây không thuộc phần thân bài của bài văn nghị luận về tác phẩm truyện (hoặc đoạn trích)?, Nhân vật.
" Trong quá trình triển khai các luận điểm, luận cứ cần đáp ứng yêu cầu gì?"," Nêu nhận định, đánh giá."
question,answer
 Nguyễn Trãi là gì? , Ức Trai. 
 Ý nào sau đây KHÔNG ĐÚNG khi nói về tiểu sử của Nguyễn Trãi? ," Nguyễn Trãi quê gốc ở làng Nhị Khê, huyện Thường Tín, Hà Nội nhưng lớn lên ở làng Chi Ngại, huyện Chí Linh, Hải Dương. "
" Sau khi thoát khỏi sự giam lỏng của giặc Minh, Nguyễn Trãi theo ai tham gia cuộc khởi nghĩa Lam Sơn?", Lê Lợi
 Đại cáo trong nhan đề tác phẩm được hiểu là gì?," Bài văn nghị luận được vua chúa, thủ lĩnh dùng để công bố những việc trọng đại đến muôn dân."
" Theo bố cục, các nội dung cụ thể sau đây được sắp xếp theo trình tự thế nào trong bài Đại cáo bình Ngô ?", (1) – (2) – (3) – (4)
(1) Nêu luận đề chính nghĩa.," Bài văn nghị luận được vua chúa, thủ lĩnh dùng để công bố những việc trọng đại đến muôn dân."
(2) Vạch rõ tội ác của kẻ thù.," Cả B, C đều đúng."
(3) Kể lại quá trình chinh phạt gian khổ và tất thắng của cuộc khởi nghĩa., Tổng kết toàn diện cuộc kháng chiến chống quân Minh.
"(4) Tuyên bố thành quả của kháng chiến, khẳng định sự nghiệp chính nghĩa.", Lúc tác giả về quê ẩn dật.
 Đại cáo trong nhan đề tác phẩm được hiểu là:, Qua Đèo Ngang
" Ở ""Bình Ngô đại cáo"", Nguyễn Trãi tố cáo giặc Minh về:", Nếu có cây đàn của vua Ngu sẽ đàn khúc nhạc cho dân no ấm. 
 Mục đích sáng tác Đại cáo bình Ngô là:," Người che chở, bảo vệ những người yếu đuối."
 Bài thơ Cảnh ngày hè được sáng tác trong hoàn cảnh nào?, V.Huy-gô 
 Thể thơ của bài thơ cảnh ngày hè giống với thể thơ của bài nào dưới đây?, Người có tư tưởng nhân đạo
 Nghĩa của câu thơ Dẽ có Ngu cầm đàn một tiếng là gì? , Cả 2 đúng
" Qua đoạn trích Người cầm quyền khôi phục uy quyền, Huygo quan niệm như thế nào về người cầm quyền?", Cả 2 đúng
 Đoạn trích “Người cầm quyền khôi phục uy quyền” là của tác giả nào dưới đây?, Cả 3 đáp án trên
 Đoạn trích Người cầm quyền khôi phục uy quyền nói lên điều gì ở con người Huy Gô?, Cả 2 đúng
 Tâm trạng của Thanh khi trở về với không gian thân thuộc., Nga
 Trạng thái tình cảm của Thanh khi nhận ra cây hoàng lan., An-tôn Páp-lô-vích Sê-khốp
 Những biểu hiện tình cảm giữa hai nhân vật gắn liền với hình ảnh hoa hoàng lan?, Truyện ngắn
" Theo bạn, nhan đề “Dưới bóng hoàng lan” có ý nghĩa gì?", Ngôi thứ 1
 Tác phẩm Một chuyện đùa nho nhỏ của nhà văn nước nào?, Thực vật
 Tác giả của Một chuyện đùa nho nhỏ  là ai?, Một năm
 Thể loại của một chuyện đùa nho nhỏ là gi?," Trái Đất chỉ là hành tinh khô chết, trơ trụi"
 Câu chuyện trong Một chuyện đùa nho nhỏ được kể bằng lời người kể chuyện ngôi thứ mấy?, Cải lương
" Theo văn bản Trái Đất – cái nôi của sự sống, đỉnh cao của sự sống trên Trái Đất là gì?", Tính linh hoạt
" Theo văn bản Trái Đất – cái nôi của sự sống, một vòng quay của Trái Đất quanh Mặt Trời hết bao nhiêu thời gian?", Đạo thờ cúng tổ tiên
" Theo văn bản Trái Đất – cái nôi của sự sống, nếu không có nước, Trái Đất sẽ như thế nào?", Tín ngưỡng thờ Mẫu
" Trong các loại hình nghệ thuật sân khấu truyền thống, loại hình nào phản ánh hiện thực xã hội một cách sống động và sâu sắc nhất ?", Bà Phạm Thị Trân
" Sân khấu truyền thống Việt Nam thường có sự giao lưu rất mật thiết với người xem (sàn diễn là sân đình, khán giả có thể tham gia bình phẩm khen chê và chen vào vài câu ngẫu hứng…). Điều này phản ánh đặc điểm gì của nghệ thuật sân khấu truyền thống?", Biểu trưng cho ước vọng thái bình
" Trong tác phẩm “Lục Vân Tiên” của Nguyễn Đình Chiểu có câu : “Thà đui mà giữ đạo nhà, Còn hơn sáng mắt ông cha không thờ”. Đạo nhà trong câu thơ trên là đạo nào ?", Cả 3 phương án đều đúng
" Hát chầu văn, hát bóng, múa bóng, hầu bóng, lên đồng…là những nghi thức hành lễ của tín ngưỡng nào?", Pháp
" Kinh đô Hoa Lư (Ninh Bình) là đất tổ của sân khấu chèo, và người được tôn vinh Tổ nghề hát chèo là:",Các-lô Rô-ve-li
" Bộ Tứ linh Long-Lân-Quy-Phụng được sử dụng phổ biến trong hội họa, điêu khắc truyền thống với nhiều ý nghĩa sâu sắc. Trong đó, hình tượng con Lân mang ý nghĩa:", Ngôi nhà là hình ảnh được sử dụng để nói về mối quan hệ giữa con người và tự nhiên.
 Cơ sở hình thành nên những phẩm chất nổi trội trong tính cách của người Việt là?, Mỹ
 Tác phẩm Về chính chúng ta của nhà văn nước nào?, Rô-bớt Phờ-rớt
 Tác giả của Về chính chúng ta là ai?, Phương hướng
 Hình ảnh nào được sử dụng để nói về mối quan hệ giữa con người và tự nhiên?, Cả 3 đáp án trên
 Tác phẩm con đường không chọn của nhà văn nước nào?, Cả 2 đúng
question,answer
 Đặc điểm nổi bật của truyền kì?, Sự kết hợp giữa yếu tố kì và yếu tố thực
 Nội dung chính của chuyện “Chức phán sự đền Tản Viên”?, A và C đúng
" Ở đoạn mở đầu tác phẩm Chuyện chức phán sự đền Tản Viên, tác giả vừa giới thiệu nhân vật vừa dẫn người đọc đi ngay vào sự việc chính: Tử văn đốt đền. Dòng nào dưới đây nêu không đúng tác dụng của lối mở đầu như vậy?"," Tạo một mối hoài nghi, hoang mang lớn trong lòng người đọc."
 Tác phẩm nào sau đây không thuộc thể loại truyện truyền kì, Hoàng Lê nhất thống chí
 Vì sao Tử Văn quyết định đốt đền?, Vì muốn diệt trừ kẻ đang làm yêu làm quái trong dân gian.
 Tên tác phẩm Truyền kì mạn lục của Nguyễn Dữ có nghĩa là, Tập sách ghi chép tản mạn những điều kì lạ và được lưu truyền
 Nhận xét nào dưới đây về Nguyễn Dữ là không chính xác," Ông xuất thân trong một gia đình nông dân nghèo, từng đi thi và đã ra làm quan, nhưng không bao lâu thì lui về ở ẩn."
 Định nghĩa nào đúng với “ chức Phán sự trong Chuyện chức phán sự đền Tản Viên của Nguyễn Dữ?," Quan xem xét cho vụ kiện tụng, giúp việc cho người sử án."
" Nét tính cách nổi bật nhất của nhân vật Tử Văn được tác giả tô đậm, nhất quán từ đầu đến cuối tác phẩm là gì?"," Cương trực, khẳng khái."
" Trong văn học Việt Nam, cho đến thế kỉ XVI có hai tác phẩm nổi tiếng thuộc thể loại truyền kì là", Truyền kì mạn lục (Nguyễn Dữ)và Truyền kì tan phả (Đoàn Thị Điểm).
" Sau khi đốt đền, Tử Văn đã trải qua cả một cuộc phiêu lưu dài. Thứ tự các sự việc trong cuộc phiêu lưu đó lần lượt là:", Sốt –gặp người tự xưng là cư sĩ – gặp Thổ công – xuống âm phủ gặp Diêm Vương.
" Có hai lần tác giả nói đến cơn sốt của tử Văn. Vị trí của lần thứ hai kể về cơn sốt của Tử Văn (Đến đêm, bệnh càng nặng thêm) được xác định thế nào?"," Sau khi gặp Thổ công, trước khi xuống âm phủ gặp Diêm Vương."
" Nét tính cách nổi bật nhất của nhân vật Tử Văn được tác giả tô đậm, nhất quán từ đầu đế cuối tác phẩm là gì?"," Cương trực, khẳng khái."
" Ở đoạn mở đầu Chuyện chức phán sự đền Tản Viên, tác giả vừa giới thiệu nhân vật vừa dẫn dắt người đọc đi ngay vào sự việc chính: Tử Văn đốt đền. Dòng nào dưới đây nêu không đúng tác dụng của lối mở đầu như vậy?","Tạo một mối hoài nghi, hoang mang lớn trong lòng người đọc"
 Truyền kì mạn lục ra đời vào thế kỉ nào?, XVI
" Nét tính cách nổi bật nhất của nhân vật Tử Văn được tác giả tô đậm, nhất quán từ đầu đế cuối tác phẩm là gì?"," Cương trực, khẳng khái"
" Ở đoạn mở đầu Chuyện chức phán sự đền Tản Viên , tác giả vừa giới thiệu nhân vật vừa dẫn dắt người đọc đi ngay vào sự việc chính: Tử Văn đốt đền. Dòng nào dưới đây nêu không đúng tác dụng của lối mở đầu như vậy?"," Tạo một mối hoài nghi, hoang mang lớn trong lòng người đọc."
" Các hình phạt mà Diêm Vương và trời đất áp dụng để trừng trị tên giặc phương Bắc có ý nghĩa sâu xa, gắn với triết lí, quan niệm của người phương Đông. Dòng nào dưới đây giải thích chưa đúng ý nghĩa của chi tiết nghệ thuật?"," Ngôi mộ [...] tự dưng thấy bị bật tung lên, hài cốt tan tành ra như cám là nỗi bất hạnh ghê gớm nhất: chết rồi còn bị phanh thấy."
" Kết thúc vụ án, mọi việc sáng tỏ, Tử Văn hai lần được ghi công và phần nào được đền đáp. Như vậy, lòng tốt và bản tính khẳng khái, cương trực đã được biểu dương, ân thưởng. Hiểu một cách sâu xa, khái quát nhất, đó là ai thắng ai?", Nội tộc thắng ngoại bang.
  Tên tác phẩm Truyền kì mạn lục của Nguyễn Dữ có nghĩa là gì?, Tập sách ghi chép tản mạn những điều kì lạ và được lưu truyền.
question,answer
" Thể loại truyện kể xa xưa nhất, thể hiện quan niệm về vũ trụ và khát vọng chinh phục thế giới tự nhiên của con người thời nguyên thủy: ", Thần thoại 
 Thần thoại có cốt truyện như thế nào?, Cốt truyện đơn tuyến
 Truyện thần thoại gồm những nhóm nào?, Thần thoại suy nguyên; Thần thoại sáng tạo
 Thời gian trong thần thoại là:, Thời gian phiếm chỉ
 Nhân vật chính trong thần thoại là?, Các vị thần
 Đâu không phải là nguyên nhân ra đời của Thần thoại?, Xã hội phân hóa giai cấp.
 Điều gì làm nên Sức hấp dẫn của truyện thần thoại?," Đặc sắc nghệ thuật và giá trị nội dung, tư tưởng. "
" Thể loại văn học dân gian nào nhằm giải thích, phản ánh nhận thức, cách hình dung của người thời cổ về nguồn gốc thế giới và đời sống con người?", Thần thoại
 Văn bản Thần Trụ Trời thuộc loại văn bản nào?, Thần thoại
" Trong văn bản Thần Trụ Trời, tác giả đã nhắc đến những vị thần nào?"," Ông Đếm sao, ông Tát bể, ông Kể sao, ông Đào sông, ông Xây rú, ông Trụ Trời"
" Theo văn bản Thần Trụ Trời, vị thần Trụ Trời sau này được gọi là gì?", Cả A và B đều đúng
 Ngoại hình của thần Trụ Trời như thế nào?," Vóc dáng khổng lồ, chân dài, có thể bước từ vùng này qua vùng khác."
 Thần thoại và sử thi giống nhau ở điểm nào?, Đều kể về các vị thần
" “Thể loại tự sự bằng văn xuôi, kể lại sự tích các vị thần sáng tạo thế giới tự nhiên và văn hóa, phản ánh nhận thức, cách hình dung của người thời cổ về nguồn gốc thế giới và đời sống con người.” là thể loại nào?", Thần thoại.
question,answer
 Thông tin nào sau đây chưa chính xác về nhà văn Nguyễn Tuân?, Ông đạt được nhiều thành tựu rực rỡ ở thể loại văn học tiểu thuyết.
 Nguyễn Tuân bắt đầu sự nghiệp văn chương khi nào?, Sau khi ra tù.
 Truyện ngắn “Chữ người tử tù” của Nguyễn Tuân trích từ tập nào sau đây?, Vang bóng một thời.  
 Nghệ thuật đặc sắc trong tác phẩm được thể hiện ở:, Tất cả đều đúng.
 Giá trị nội dung của tác phẩm Chữ người tử tù là:, Tất cả các đáp án trên.
" Trong truyện ngắn “Chữ người tử tù” có đoạn: “Trong đề lao ngày đêm cửa tù đợi phút cuối cùng, đúng như lời thơ xưa, vẫn đằng đẵng như nghìn năm ở ngoài”. “Lời thơ xưa” ở đây là câu nào dưới đây?", Nhất nhật tại tù; Thiên thu tại ngoại.
 Nhân vật Huấn Cao được hư cấu từ nguyên mẫu nào sau đây?, Cao Bá Quát.
 Tác giả Nguyễn Tuân không dùng hình ảnh nào để miêu tả về viên quản ngục trong tác phẩm chữ người tử tù:, “Một đóa sen thơm tinh khiết bị ném vào giữa hôi hám bùn nhơ”.
 Dòng nào sau đây không phải là nhận định về nhân vật Huấn Cao?," Là người có nhân cách, có lương tâm, nhưng trong một thời đại nhiễu nhương, phải đành lòng phục vụ cho một triều đại suy thoái."
 Dòng nào sau đây không thuộc giá trị nội dung truyện ngắn “Chữ người tử tù” của Nguyễn Tuân?," Lối kể chuyện vừa cổ kính vừa hiện đại, tả cảnh tạo tình huống và xây dựng tính cách độc đáo."
 Vì lí do nào mà tác giả coi nhân vật viên quản ngục là “thanh âm trong trẻo chen vào giữa một bản đàn mà nhạc luật đều hỗn loạn xô bồ”, Tất cả đều đúng.
 Dòng nào sau đây được xem là chủ đề truyện ngắn “Chữ người tử tù” của Nguyễn Tuân?," Truyện ngắn “Chữ người tử tù” là một bài ca đầy cảm hứng, động viên con người hãy giữ và gắng giữ cái đẹp của thiên lương trong bất kỳ hoàn cảnh nào."
 Vì lí do nào mà tác giả coi nhân vật viên quản ngục là “thanh âm trong trẻo chen vào giữa một bản đàn mà nhạc luật đều hỗn loạn xô bồ”?, Tất cả đều đúng.
 Dòng nào sau đây là nhận định không chính xác về khía cạnh nghệ thuật trong truyện ngắn “Chữ người tử tù” của Nguyễn Tuân?, Tô đậm mâu thuẫn trong đời sống tâm hồn của viên quản ngục.
 Hai nhân vật chính trong truyện  “Chữ người tử tù” là:, Viên quan coi ngục và Huấn Cao.
 “Cảnh tượng xưa nay chưa từng thấy” trong truyện ngắn “Chữ người tử tù” của Nguyễn Tuân là cảnh tượng nào sau đây?," Một người tù, cổ đeo gông, chân vướng xiềng đang đậm tô nét chữ trên tấm lụa trắng tinh căng mình trên mảnh ván. Người tù viết xong một chữ, viên quản ngục lại vội khúm núm cất những đồng tiền kẽm đánh dấu ô chữ đặt trên phiến lụa óng. Và thầy thơ lại gầy gò, thì run run bưng chậu mực."
 Lời khuyên của Huấn Cao: “Ở đây lẫn lộn. Ta khuyên thầy quản nên thay chốn ở đi. Chỗ này không phải là nơi để treo một bức lụa trắng với nét chữ vuông tươi tắn nó nói lên những cái hoài bão tung hoành của một đời con người”. Ý nghĩa của lời khuyên là:, Cả hai đáp án trên đều đúng.
 Những chi tiết nào dưới đây thể hiện tài viết chữ đẹp của Huấn Cao?, Tất cả các đáp án trên.
 Tác giả Nguyễn Tuân không dùng hình ảnh nào để miêu tả về viên quản ngục trong tác phẩm chữ người tử tù:, “Một đóa sen thơm tinh khiết bị ném vào giữa hôi hám bùn nhơ”
 Chi tiết nào thể hiện rõ thái độ khinh miệt của Huấn Cao đối với quản ngục khi chưa hiểu được tấm lòng của quản ngục?, “Ngươi hỏi ta muốn gì? Ta chỉ muốn có một điều. Là nhà ngươi từ nay đừng đặt chân vào đây nữa”.
question,answer
" Từ nào sau đây có yếu tố ""hữu"" cùng nghĩa với ""hữu"" trong ""bằng hữu""?", Hiền hữu. (1)
 Chữ “thiên” trong từ nào sau đây không có nghĩa là “trời”?, Thiên kiến
" Dòng nào sau đây chỉ gồm những từ Hán Việt có yếu tố chính đứng trước, yếu tố phụ đứng sau?"," Phòng gian, ái quốc, thủ môn, chiến thắng."
" Trong những yếu tố Hán Việt sau, yếu tố nào không được dùng độc lập như từ mà chỉ dùng để tạo từ ghép? ", Sơn(núi).
 Từ nào có nghĩa là “người đốn củi” trong các từ Hán Việt sau:, Tiều phu 
 Từ Hán Việt là những từ như thế nào? ," Là từ được mượn từ tiếng Hán, trong đó tiếng để cấu tạo từ Hán Việt được gọi là yếu tố Hán Việt "
 Nghĩa của từ “tân binh” là gì? , Người lính mới 
 Từ ghép Hán Việt có mấy loại chính? , Hai 
 Từ nào trong các câu dưới đây có sử dụng từ Hán Việt?, Xã tắc 
"""Xã tắc hai phen chồn ngựa đá", Gia sản 
"Non sông nghìn thuở vững âu vàng.""", Quốc kì
 Từ nào dưới đây có yếu tố “gia” cùng nghĩa với từ “gia” trong gia đình? , Đúng.
 Từ Hán Việt nào sau đây không phải từ ghép đẳng lập , Xã tắc
" Khi sử dụng từ mượn Hán Việt cần chú ý tới ngữ cảnh sử dụng, mục đích và đối tượng giao tiếp, tránh việc lạm dụng từ Hán Việt, đúng hay sai? ", Tiếng Hán
 Từ Hán Việt nào sau đây không phải từ ghép đẳng lập?, Thiên kiến
 Đâu là bộ phận từ mượn quan trọng nhất trong tiếng Việt?, Cả A và B đều đúng
 Chữ “thiên” trong từ nào sau đây không có nghĩa là “trời”?, Tất cả các đáp án trên
 Từ Hán Việt là những từ như thế nào?," Do tiếng Việt chưa có từ để biểu thị, hoặc có từ nhưng biểu thị chưa chính xác"
  Cần chú ý điều gì khi mượn tiếng nước ngoài?," làm giàu có, phong phú thêm cho tiếng Việt."
 Lý do của việc mượn từ trong tiếng Việt là gì?, Từ mượn tiếng Hán
 Việc vay mượn các từ ở những ngôn ngữ khác có tác dụng…, Hán
 Bộ phận từ mượn chiếm số lượng lớn nhất trong vốn từ vựng tiếng Việt là…, mượn những từ mà trong tiếng Việt chưa có từ thích hợp để biểu nghĩa.
 Từ mượn tiếng nào chiếm số lượng lớn nhất?, mượn tiếng Hán
" Để bảo vệ sự trong sáng của tiếng Việt, khi mượn từ tiếng nước ngoài cần, ta cần phải…", Pháp
" Gia nhân, gia tài, địa chủ là những từ…", Chăm chỉ
" Các từ pê-đan, ten-nít, tuốc- nơ-vít, gác- đờ-xen là từ mượn tiếng nước nào?", Từ mượn tiếng Anh
question,answer
 Để làm tốt bài nghị luận về tác phẩm truyện (hoặc đoạn trích) cần vận dụng các phép lập luận nào?, Tất cả các phương án trên.
 Ý nào sau đây không đúng khi nói về đặc điểm của bài văn nghị luận tác phẩm truyện hoặc đoạn trích:, Các nhận xét đánh giá của truyện xuất phát từ suy nghĩ chủ quan của người viết
 Một bài nghị luận về tác phẩm truyện (hoặc đoạn trích) gồm mấy phần?, 3 phần.
 Phần mở bài của bài nghị luận về tác phẩm truyện (hoặc đoạn trích) cần có nội dung nào sau đây?, Giới thiệu tác phẩm và nêu ý kiến đánh giá.
 Đâu là nhiệm vụ của kết bài trong văn nghị luận về tác phẩm truyện (hoặc đoạn trích) là gì?," Nêu nhận định, đánh giá."
 Dòng nào sau đây không phải là yêu cầu chính của bài nghị luận về tác phẩm truyện (hoặc đoạn trích)?," Lời văn gợi cảm, trau chuốt."
" Cho đề bài sau: Phân tích nhân vật ông giáo trong truyện ngắn Lão Hạc của Nam Cao. Trong phần mở bài, ta sẽ giới thiệu về vấn đề gì?"," Giới thiệu về tác giả Nam Cao, tác phẩm Lão Hạc và nhân vật ông Giáo."
 Phần nào sau đây không thuộc phần thân bài của bài văn nghị luận về tác phẩm truyện (hoặc đoạn trích)?, Đánh giá chung về vấn đề nghị luận.
" Trong quá trình triển khai các luận điểm, luận cứ cần đáp ứng yêu cầu gì?", Thể hiện sự cảm thụ và ý kiến riêng của người viết.
 , Nhân vật.
 Chủ đề của bài văn nghị luận tác phẩm truyện (hoặc đoạn trích) có thể là gì?," Nêu nhận định, đánh giá."
 Đâu là nhiệm vụ của kết bài trong văn nghị luận về tác phẩm truyện (hoặc đoạn trích) là gì?, Cả 3 đáp án trên
 Nghị luận về tác phẩm truyện (hay đoạn trích) là gì?, Phân tích diễn biến tâm lí nhân vật lão Hạc
"   A. Là trình bày những nhận xét, đánh giá của mình về nhân vật, sự kiện hay chủ đề, nghệ thuật của một tác phẩm cụ thể", Diễn dịch
 ," Nêu nhận định, đánh giá."
 Cho đoạn văn sau, 3 phần
" sống liệu có giữ được mảnh vườn cho con mà vẫn có cái để mà ăn hay không (bán mất mảnh vườn sẽ là một trọng tội không thể tha thứ được của lão đối với người vợ đã khuất và đứa con đang ở xa); hay là chết thì sẽ giữ được mảnh vườn, lương tâm yên ổn? Nhưng nếu chết thì phải chết như thế nào, chuẩn bị cho nó ra sao?… Cuối cùng, lão Hạc lựa chọn cái chết. Đầu tiên lão để cho cậu vàng chết trước. Sau đó mới đến mình. Lão âm thầm chuẩn bị, dọn dẹp chu tất một con đường sạch sẽ để bước đến nhà mồ (nhờ ông giáo giữ vườn để khỏi ai tranh chiếm, nhòm ngó, gửi cầm 30 đồng bạc để cậy bà con lo liệu ma chay nếu mình có mệnh hệ gì). Lão đã chọn cái chết trong còn hơn phải sống khổ, sống nhục. Lão đã chết một cách cao ngạo và thảm khốc. Chỉ có bằng cách này lão mới khỏi phạm vào mảnh đất thiêng dành cho con mình, mới có thể chấm dứt kiếp sống lay lắt, héo úa....", Nhân vật
Đoạn văn trên phù hợp với nội dung của đề văn nghị luận nào?, Thể hiện sự cảm thụ và ý kiến riêng của người viết.
  Đoạn văn trên lập luận theo phương thức nào," Lời văn gợi cảm, trau chuốt."
 Đâu là nhiệm vụ của kết bài trong văn nghị luận về tác phẩm truyện (hoặc đoạn trích) là gì?, Đánh giá chung về vấn đề nghị luận.
 Một bài nghị luận về tác phẩm truyện (hoặc đoạn trích) gồm mấy phần?, Tất cả các phương án trên.
 Chủ đề của bài văn nghị luận tác phẩm truyện (hoặc đoạn trích) có thể là gì?," Giới thiệu về tác giả Nam Cao, tác phẩm Lão Hạc và nhân vật ông Giáo."
" Trong quá trình triển khai các luận điểm, luận cứ cần đáp ứng yêu cầu gì?", Nêu các luận điểm chính về nội dung và nghệ thuật.
 Dòng nào sau đây không phải là yêu cầu chính của bài nghị luận về tác phẩm truyện (hoặc đoạn trích)?, Giới thiệu tác phẩm và nêu ý kiến đánh giá.
question,answer
 Bố cục Chùm thơ hai-cư Nhật Bản được chia làm mấy phần?, 3 phần
 Thơ hai-cư là thể thơ gì?," 3 câu, 17 âm tiết"
 Quý ngữ là gì?, Từ chỉ mùa.
 Nhà thơ Ba - sô là một nhà thơ nổi tiếng của văn học Nhật Bản có tác phẩm chính nào?, Du kí Phơi thân đồng nội (1659); Đoản văn trong đây (1688)
 Bài thơ sau của Ba-sô thể hiện điều gì ?, Nỗi đau đớn khi cầm trên tay mớ tóc bạc của người mẹ đã mất.
Lệ trào nóng hổi," Cảnh u tịch, vắng lặng của chiều tà ở chốn đền thiêng."
tan trên tay tóc mẹ, Một bức tranh thủy mặc
làn sướng thu," Cả A, B và C đều đúng."
 Cảnh sắc nào được gợi lên trong bài thơ trên của Ba-sô là gì?," Cảnh u tịch, vắng lặng của chiều tà ở chốn đền thiêng."
 Thơ hai-cư thường được so sánh với điều gì?, Thể hiện sự tương giao nhiệm màu của các giác quan và cảm giác của con người.
 Hình ảnh làn sương thu gợi liên tưởng đến điều gì?, Âm thanh có thể thâm nhập được vào vật thể.
 Cảnh sắc nào được gợi lên trong bài thơ sau của Ba-sô là gì?, Nỗi xúc động khi gặp lại mẹ sau bao năm xa cách.
Vắng lặng u trầm, Một bức tranh thủy mặc.
question,answer
 Bài thơ được ông làm khi nào?, Năm 766
 Dòng nào sau đây không nói về Đỗ Phủ?, Được người Trung Quốc gọi là “thi tiên”.
 Nội dung biểu đạt của hai câu thơ mở đầu là gì?," Cảnh chiều thu trong sáng, êm đềm."
 Hình ảnh cô chu (con thuyền lẻ loi) không gợi đến điều gì?," Khát vọng lên đường, du ngoạn khắp nơi của tác giả."
